CNTR_NUM,CNTR_TEU,IS_20,IS_40,IS_45,IS_GP,IS_HQ,IS_XX,TARIFF_CODE,VGM_WT,IS_OVERWT,GC_IND,PCT_IND,RF_IND,DG_IND,AW_IND,IS_NORTH_BOUND,IS_EAST_BOUND,IS_TOP_COMMODITY,IS_CARRIER_IND,BOX_COUNT,ETA_DD,ETA_MO,LADEN_PICKUP_FCIL_CDE,MTY_RTN_FCIL_CDE,MTY_RTN_TRANSITTIME_ACTUAL
XXXX740639,2,0,1,0,1,0,0,3,10,0,1,0,0,0,0,0,1,1,1,7,3,06,LGB10,LGB10,110
XXXX954237,2,0,1,0,0,1,0,3,11,0,1,0,0,0,0,0,1,1,1,7,3,06,LGB10,LGB10,130
XXXX921449,2,0,1,0,0,1,0,3,19,0,1,0,0,0,0,0,1,0,1,3,2,06,LGB10,LGB10,192
XXXX684562,2,0,1,0,0,1,0,3,11,0,1,0,0,0,0,0,1,1,1,15,3,07,LGB10,LGB10,163
XXXX827558,2,0,1,0,0,1,0,3,19,0,1,0,0,0,0,0,1,0,1,3,2,06,LGB10,LGB10,164
XXXX678951,2,0,1,0,0,1,0,3,19,0,1,0,0,0,0,0,1,0,1,3,2,06,LGB10,LGB10,156
XXXX896439,2,0,1,0,0,1,0,3,19,0,1,0,0,0,0,0,1,0,1,5,5,07,LGB10,LGB10,75
XXXX864549,2,0,1,0,0,1,0,3,19,0,1,0,0,0,0,0,1,0,1,5,5,07,LGB10,LGB10,92
XXXX990545,2,0,1,0,0,1,0,3,19,0,1,0,0,0,0,0,1,0,1,5,5,07,LGB10,LGB10,80
XXXX957597,2,0,1,0,0,1,0,3,19,0,1,0,0,0,0,0,1,0,1,5,5,07,LGB10,LGB10,91
XXXX899904,2,0,1,0,0,1,0,3,12,0,1,0,0,0,0,0,1,1,1,15,2,07,LGB10,LGB10,191
XXXX844186,2,0,1,0,0,1,0,3,12,0,1,0,0,0,0,0,1,1,1,15,2,07,LGB10,LGB10,132
XXXX682390,2,0,1,0,0,1,0,3,12,0,1,0,0,0,0,0,1,1,1,15,3,07,LGB10,LGB10,149
XXXX935937,2,0,1,0,0,1,0,3,19,0,1,0,0,0,0,0,1,0,1,4,2,06,LGB10,LGB10,160
